id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dafd0-eb26-75a0-b62e-c8e510362b00,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb36-76fe-8f90-3adb19ffda25,Cheikh Agyei,male,0.79,49,adult,NG,Nigeria,0.19,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb3f-739e-909f-a1b788b8ce00,Ibrahima Olawale,male,0.71,53,adult,NG,Nigeria,0.48,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb40-718c-97cd-4901bd665f32,Alexis Camara,male,0.93,20,adult,NG,Nigeria,0.12,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb41-77dd-87ae-433a0d7b8e4a,Cheikh Zongo,male,0.95,81,senior,NG,Nigeria,0.14,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb46-776e-98bc-a2504901ddff,Femi Boateng,male,0.95,27,adult,NG,Nigeria,0.59,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb47-716d-b3d7-6e34a5b7dc5e,Arsène Okonkwo,male,0.78,81,senior,NG,Nigeria,0.63,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb4c-7186-a158-f93d34c8185e,Oumar Dossou,male,0.83,33,adult,NG,Nigeria,0.66,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb51-77fb-891c-f3e833b2f517,David Amoah,male,0.87,40,adult,NG,Nigeria,0.17,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb55-734e-b00f-74528060944d,Ebo Adeyemi,male,0.91,29,adult,NG,Nigeria,0.58,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb56-73c0-9d0d-8f799d226df1,Kojo Chukwu,male,0.72,5,child,NG,Nigeria,0.25,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb56-73c0-9d0d-99387512be9b,Kwame Tchalla,male,0.76,39,adult,NG,Nigeria,0.43,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb56-73c0-9d0d-df8a977603bf,Arsène Camara,male,0.88,15,teenager,NG,Nigeria,0.45,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb58-779f-8fb6-120e57f7e58f,Moussa Segla,male,0.8,19,teenager,NG,Nigeria,0.56,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb58-779f-8fb6-4e4be7f6baeb,Calixte Compaoré,male,0.98,43,adult,NG,Nigeria,0.84,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb5a-7557-a1f0-6d05cd25b09a,Joseph Chukwu,male,0.93,18,teenager,NG,Nigeria,0.16,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb5a-7557-a1f0-803081c348aa,Kojo Eze,male,0.88,24,adult,NG,Nigeria,0.86,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb5d-72f8-b5d1-2366357d51e1,Ade Olawale,male,0.66,36,adult,NG,Nigeria,0.1,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
019dafd0-eb5e-72c4-880a-87f9027519c2,Cheikh Konaté,male,0.97,59,adult,NG,Nigeria,0.64,Tue Apr 21 2026 11:32:56 GMT+0000 (Coordinated Universal Time)
